Rank,County,Y (Lat),X (Long),Ag District,Cattle
100,Walker,30.73899492,-95.57224172,East Texas South,38233
69,Waller,30.01093722,-95.98768942,East Texas South,50767
249,Ward,31.509424,-103.1024636,Trans-Pecos,2926
48,Washington,30.2145299,-96.40356575,South Central,61192
66,Webb,27.76102524,-99.33170164,South Texas,51996
56,Wharton,29.2778362,-96.22197375,Upper Coast,57168
43,Wheeler,35.40129002,-100.2697634,Northern Low Plains,64716
134,Wichita,33.98421585,-98.70153389,Northern Low Plains,26634
143,Wilbarger,34.08044953,-99.24089568,Northern Low Plains,23802
215,Willacy,26.47132899,-97.64303323,Lower Valley,10668
37,Williamson,30.64834941,-97.60105467,Blacklands,69587
26,Wilson,29.17315896,-98.08621015,South Central,76972
241,Winkler,31.85008609,-103.0484794,Trans-Pecos,4697
54,Wise,33.21585061,-97.65444124,Cross Timbers,58369
77,Wood,32.78634374,-95.38206498,East Texas North,46020
242,Yoakum,33.17293501,-102.8278792,Southern High Plains,4459
127,Young,33.17670764,-98.68781396,Cross Timbers,29880
145,Zapata,27.00089072,-99.16860134,South Texas,23403
98,Zavala,28.86530621,-99.76102001,South Texas,38767
