Left,Bottom,Right,Top
-97.5314,32.4511,-96.3867,33.0756
-97.2608,31.7182,-96.8243,32.5067
-97.3443,31.246,-96.9078,32.0385
-97.4363,30.9711,-97.097,31.5344
-97.6446,30.7409,-97.3546,31.1479
-97.7632,30.5368,-97.4732,30.9445
-97.9749,30.0111,-97.4813,30.6293
